やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
っぱなし	っ放し	suf	keep ...-ing, have been ...-ing, leaving (something) on, leaving (something) still in use	Push [PAGEUP] and [PAGEDOWN] together, hold them down, and you can escape.	Ｌ１ボタンとＲ１ボタンを押しっぱなしにしていると逃げられたはずだ
かくにん	確認	n, vs	confirmation, verification, validation, review, check, affirmation, identification	During battle, there are several [Gauges] displayed. You can't check them now, so just remember what I tell you.	いまは確認できないからわかりにくいかもしれんがとにかく、聞いておけ。戦闘中、いくつか表示されている【ゲージ】のことだ
ひょうじ	表示	n, vs	indication, expression, showing, manifestation, demonstration,display, displaying,representation	During battle, there are several [Gauges] displayed. You can't check them now, so just remember what I tell you.	いまは確認できないからわかりにくいかもしれんがとにかく、聞いておけ。戦闘中、いくつか表示されている【ゲージ】のことだ
めぐる	巡る	v5r, vi	to go around,to return,to surround,to concern (usu. of disputes)	[time gauge] displays the time remaining until your next turn while in battle.	【ＴＩＭＥゲージ】は戦闘中、次のコマンド入力が回ってくるまでの待ち時間をあらわしている
まちじかん	待ち時間	n	waiting time, latency, standby time (e.g. cellular phones), queueing time	[time gauge] displays the time remaining until your next turn while in battle.	【ＴＩＭＥゲージ】は戦闘中、次のコマンド入力が回ってくるまでの待ち時間をあらわしている
まわす	回す	v5s, vt	to turn, to rotate, to spin, to twist, to gyrate, to turn on (something that turns),to pass around, to send around, to hand around, to circulate,to move (someone or something to where its needed), to send, to bring, to transfer, to forward, to direct, to submit,to turn (to a new use), to use (for something else),to put (someone in a position), to make (e.g. an enemy of),to ... around (e.g. chase, fool, play), to do all over, to do everywhere, to do completely,to surround (something) with, to enclose with,to put (an arm) around (e.g. someone's waist), to reach around,to invest (money), to lend,to dial (a telephone number),to gang-rape	When the gauge is full, you can make your command. If you don't want to make one, push [MENU] and you can move to the next character. It's convenient when you wanna make BARRET work.	ゲージがいっぱいになるとコマンドの入力が可能だがもし入力したくなければ、【△ボタン】で次のやつに順番をまわすこともできる。BARRETをこきつかいたい時などに便利だ
こきつかう	こき使う	v5u, vt	to work (someone) hard, to push (someone) around	When the gauge is full, you can make your command. If you don't want to make one, push [MENU] and you can move to the next character. It's convenient when you wanna make BARRET work.	ゲージがいっぱいになるとコマンドの入力が可能だがもし入力したくなければ、【△ボタン】で次のやつに順番をまわすこともできる。BARRETをこきつかいたい時などに便利だ
べんり	便利	adj-na	convenient, handy, useful	When the gauge is full, you can make your command. If you don't want to make one, push [MENU] and you can move to the next character. It's convenient when you wanna make BARRET work.	ゲージがいっぱいになるとコマンドの入力が可能だがもし入力したくなければ、【△ボタン】で次のやつに順番をまわすこともできる。BARRETをこきつかいたい時などに便利だ
つかえる	使える	v1	to be usable, to be serviceable, to be useful	The [limit gauge] increases every time you sustain damage. When it is full, you can use the [limit technique].	【ＬＩＭＩＴゲージ】はダメージを受けるごとにのびていくはずだ。これがいっぱいになると、【リミット技】が使える
クリア		n, vs	clear,clearing (a bar, hurdle, etc.),overcoming, getting through, getting past, completing, solving, settling, meeting (e.g. a standard),clearing (the ball),clearing (e.g. a checked box)	This gauge is not cleared after each battle, but gradually builds up over time.	【ＬＩＭＩＴゲージ】は、各戦闘ごとにクリアされず数をこなしただけ、たまっていくタイプだ
かず	数	n	number, amount	This gauge is not cleared after each battle, but gradually builds up over time.	【ＬＩＭＩＴゲージ】は、各戦闘ごとにクリアされず数をこなしただけ、たまっていくタイプだ
こなす	熟す	suf, v5s	to digest,to break down, to break to pieces, to crush,to be able to use, to be good at, to have a good command of,to finish, to complete, to manage, to perform,to sell,to do ... well, to do ... completely	This gauge is not cleared after each battle, but gradually builds up over time.	【ＬＩＭＩＴゲージ】は、各戦闘ごとにクリアされず数をこなしただけ、たまっていくタイプだ
たまる	溜まる	v5r, vi	to collect, to gather, to save, to accumulate, to pile up	This gauge is not cleared after each battle, but gradually builds up over time.	【ＬＩＭＩＴゲージ】は、各戦闘ごとにクリアされず数をこなしただけ、たまっていくタイプだ
つかい	使い	n-suf, n-pref	errand, mission, going as envoy,messenger, bearer, errand boy, errand girl,familiar spirit,use, usage, user, trainer, tamer, charmer	It takes a while for it to build up, so you have to think about which times are the best to use it.	たまったからといって、すぐにつかわず【リミット技】の使いどころを見極めることが大切なのは言うまでもない
みきわめる	見極める	v1, vt	to ascertain, to make sure of, to determine, to probe, to get to the bottom (of something)	It takes a while for it to build up, so you have to think about which times are the best to use it.	たまったからといって、すぐにつかわず【リミット技】の使いどころを見極めることが大切なのは言うまでもない
いかり	怒り	n	anger, rage, fury, wrath, indignation	You probably don't know about them, but there are conditions of [fury] and [sadness].	おまえたちは知らないだろうから、教えといてやる。【ステータス】に、【怒り】と【悲しい】という状態がある
めいちゅう	命中	n, vs	(direct) hit, hitting the mark	When you have [fury], your limit gauge builds up sooner, but your attacking accuracy is lower.	【怒り】は、【ＬＩＭＩＴゲージ】の上がり方が早くなるが攻撃の命中率は低下する
りつ	率	n, n-suf	rate, ratio, proportion, percentage	When you have [fury], your limit gauge builds up sooner, but your attacking accuracy is lower.	【怒り】は、【ＬＩＭＩＴゲージ】の上がり方が早くなるが攻撃の命中率は低下する
ていか	低下	n, vs	fall, decline, lowering, deterioration, degradation	When you have [fury], your limit gauge builds up sooner, but your attacking accuracy is lower.	【怒り】は、【ＬＩＭＩＴゲージ】の上がり方が早くなるが攻撃の命中率は低下する
とくてい	特定	n, vs	specific, particular, designated, special,specifying, designating, identifying, pinpointing	The [barrier gauge] shows your defense barriers.	【ＢＡＲＲＩＥＲゲージ】は特定の魔法の効果時間をあらわす
こうか	効果	n	effect, effectiveness, efficacy, result,effects (e.g. sound effects, visual effects, special effects)	The [barrier gauge] shows your defense barriers.	【ＢＡＲＲＩＥＲゲージ】は特定の魔法の効果時間をあらわす
なぐる	殴る	v5r, vt	to strike, to hit, to beat, to punch	The top gauge displays [barrier] or magic defense against attacks. The bottom gauge displays [magic barrier] or defenses against magic attacks.	上のゲージは、なぐられ攻撃を防ぐ魔法【バリア】下のゲージは、魔法攻撃を防ぐ魔法【マバリア】
ふせぐ	防ぐ	v5g, vt	to defend against, to protect against,to prevent, to avert, to avoid	The top gauge displays [barrier] or magic defense against attacks. The bottom gauge displays [magic barrier] or defenses against magic attacks.	上のゲージは、なぐられ攻撃を防ぐ魔法【バリア】下のゲージは、魔法攻撃を防ぐ魔法【マバリア】
りょうほう	両方	n, adj-no	both, both sides, both parties	Both will cut the damage you receive in half. However, over time they will disappear.	両方ともダメージを半分にしてくれるが時間が経つと消えてしまう
たつ	経つ	v5t, vi	to pass (of time), to elapse	Both will cut the damage you receive in half. However, over time they will disappear.	両方ともダメージを半分にしてくれるが時間が経つと消えてしまう
きえる	消える	v1, vi	to go out, to vanish, to disappear	Both will cut the damage you receive in half. However, over time they will disappear.	両方ともダメージを半分にしてくれるが時間が経つと消えてしまう
ちゅうもく	注目	n, vs	notice, attention, observation	Whenever you use [barrier] or [magic barrier] make sure to pay attention to the [barrier gauge].	【バリア】と【マバリア】の魔法をつかったときは【ＢＡＲＲＩＥＲゲージ】に注目だな
りかい	理解	n, vs	understanding, comprehension, appreciation, sympathy	Looks like you didn't get it the last time I told you. What's wrong with you? You touched in the head?	この俺の説明でもわからんようならしかたない。おまえたちの理解する能力がたりないようだ
のうりょく	能力	n	ability, faculty	Looks like you didn't get it the last time I told you. What's wrong with you? You touched in the head?	この俺の説明でもわからんようならしかたない。おまえたちの理解する能力がたりないようだ
たりる	足りる	v1, vi	to be sufficient, to be enough,to be worth doing, to be worthy of, to deserve,to do (the job), to serve, to answer	Looks like you didn't get it the last time I told you. What's wrong with you? You touched in the head?	この俺の説明でもわからんようならしかたない。おまえたちの理解する能力がたりないようだ
セレクト		n, vs	select	Well, don't worry. You just need to push [ASSIST] in battle.	だが、安心しろ。そんなおまえたちは、戦闘中、セレクトボタンを押してみるといいだろう
メッセージ		n	message	Do that, and the [Help] message will walk you through the commands.	【ヘルプメッセージ】が、俺にかわっていろいろとコマンドの説明をしてくれるはずだ
かわる	変わる	v5r, vi	to change, to be transformed, to be altered, to vary,to move to,to be different, to be uncommon, to be unusual	Do that, and the [Help] message will walk you through the commands.	【ヘルプメッセージ】が、俺にかわっていろいろとコマンドの説明をしてくれるはずだ
モンスター		adj-f	monster, monstrosity,giant, influential figure, colossus,monsterlike, over-demanding, bullying, overbearing, bossy	It also shows you the name of your enemy, so even I use it once in a while. Make good use of it.	敵のモンスター名なども表示されるから俺も気分転換に見ることもある。はずかしがらずに使うといい
てんかん	転換	n, vs, adj-no	conversion, diversion, changeover, commutation, switchover	It also shows you the name of your enemy, so even I use it once in a while. Make good use of it.	敵のモンスター名なども表示されるから俺も気分転換に見ることもある。はずかしがらずに使うといい
きおく	記憶	n, vs	memory, recollection, remembrance,storage	[wiped out]. This is one I've never personally used. But I heard from someone what it was about.	【全滅】か……俺の記憶にはないから、これは人から聞いた話だ
じみち	地道	adj-na, n	steady, honest, sober, straightforward	Even a weakling like you can make it out of the roughest places as long as you hang in there and fight. You should be glad!	おまえたちのような弱いヤツでも地道に戦えば、どんな難所でも脱出できるはずだ。ありがたいことだな
なんしょ	難所	n	perilous pass (on a route or journey), rough spot	Even a weakling like you can make it out of the roughest places as long as you hang in there and fight. You should be glad!	おまえたちのような弱いヤツでも地道に戦えば、どんな難所でも脱出できるはずだ。ありがたいことだな
キャラクター		n	character, personality, disposition,character (in a film, novel, comic, etc.),letter, character, symbol	[Status] means just that. The status of each character.	【ステータス】とはキャラクターの状態のことだ
かさなる	重なる	v5r, vi	to be piled up, to lie on top of one another,to come one after another, to happen over and over, to pile up (e.g. stress), to accumulate,to overlap (each other), to occur at the same time, to happen simultaneously	I'll probably wind up repeating myself, but let me go over a few basic points.	これまで説明したことと重なるかもしれんが代表的なものをまとめといてやる
だいひょう	代表	n	representative, representation, delegation, type, example, model,switchboard number, main number	I'll probably wind up repeating myself, but let me go over a few basic points.	これまで説明したことと重なるかもしれんが代表的なものをまとめといてやる
まとめる	纏める	v1, vt	to collect, to put (it all) together, to integrate, to consolidate, to unify,to summarize, to aggregate,to bring to a conclusion, to finalize, to settle, to put in order,to establish, to decide	I'll probably wind up repeating myself, but let me go over a few basic points.	これまで説明したことと重なるかもしれんが代表的なものをまとめといてやる
すう	吸う	v5u, vt	to smoke, to breathe in, to inhale,to suck, to sip, to slurp,to absorb, to soak up,to kiss	Sleep You cannot put in a command until you get up.	すいみん　起きるまでコマンド入力不可になる。
ふか	不可	n	wrong, bad, improper, unjustifiable, inadvisable,not allowed, not possible,failing grade	Sleep You cannot put in a command until you get up.	すいみん　起きるまでコマンド入力不可になる。
エイチピー	ＨＰ	n	horsepower, HP,home page,half-pipe (i.e. in snowboarding),HP (i.e. a 'hit point' in a role-playing game),harp	Poison Steals your HP in battle.	どく　　　　戦闘中にどんどんＨＰが減っていく。
ばい	倍	suf	twice, double,times, -fold	Fury Damage is increased, attack accuracy decreased. Tranquilizers will remedy it.	いかり　　ダメージ倍、命中率低下。鎮静剤でもどる。
ちんせい	鎮静	n, vs, adj-no	calm, quiet, tranquility, tranquillity, appeasement, pacification	Fury Damage is increased, attack accuracy decreased. Tranquilizers will remedy it.	いかり　　ダメージ倍、命中率低下。鎮静剤でもどる。
ざい	剤	n-suf	medicine, agent, (chemical) substance, drug, dose	Fury Damage is increased, attack accuracy decreased. Tranquilizers will remedy it.	いかり　　ダメージ倍、命中率低下。鎮静剤でもどる。
こうふん	興奮	n, vs	excitement, stimulation, agitation, arousal	Sadness Damage is decreased. Hyper will remedy it.	かなしい　ダメージ低下。興奮剤でもどる。
せき	席	n	seat,location (of a gathering, etc.), place,position, post	Petrify Will petrify and become immobilized. Every member will be wiped out.	せきか　　石になり、動けなくなる。全員石で全滅だ。
いし	石	n	stone,gem, jewel	Petrify Will petrify and become immobilized. Every member will be wiped out.	せきか　　石になり、動けなくなる。全員石で全滅だ。
ぜんいん	全員	n-adv, n	all members (unanimity), all hands, the whole crew, everyone, everybody	Petrify Will petrify and become immobilized. Every member will be wiped out.	せきか　　石になり、動けなくなる。全員石で全滅だ。
こん	紺	n, adj-no	navy blue, deep blue	Confuse Will attack enemy and ally alike.	こんらん　頭が混乱し、敵味方の区別がつかなくなる。
くべつ	区別	n, vs	distinction, differentiation, classification	Confuse Will attack enemy and ally alike.	こんらん　頭が混乱し、敵味方の区別がつかなくなる。
ちん	珍	adj-na, n	rare, curious, strange	Silence Will be unable to cast magic.	ちんもく　全ての魔法をとなえられなくなる。
となえる	唱える	v1, vt	to recite, to chant,to cry, to yell, to shout,to advocate, to advance, to preach, to insist	Silence Will be unable to cast magic.	ちんもく　全ての魔法をとなえられなくなる。
タイム		n	time,thyme,time out (e.g. in sport)	Paralyze Stops time gauges, commands.	マヒ　　　　タイムゲージ停止、コマンド入力不可
ていし	停止	n, vs	suspension, interruption, stoppage, ban, standstill, halt, hang-up, deadlock, stalemate, abeyance,suspension of music, dance, etc. as a sign of mourning for a prominent person	Paralyze Stops time gauges, commands.	マヒ　　　　タイムゲージ停止、コマンド入力不可
くら	蔵	n	warehouse, storehouse, cellar, magazine, granary, godown, depository, treasury, elevator	Darkness Accuracy of hitting attacks decreases.	くらやみ　なぐり攻撃の命中率低下。
やみ	闇	n, adj-no	darkness, the dark, dark,bewilderment, despair, hopelessness,black-marketeering, shady, illegal, under-the-table	Darkness Accuracy of hitting attacks decreases.	くらやみ　なぐり攻撃の命中率低下。
かえる	返る	suf, v5r	to return, to come back, to go back,to turn over,to become extremely, to become completely	Frog Become a frog. I hate this one!	カエル　　カエルになる。俺はだいきらいだ。
へんか	変化	n, vs	change, variation, alteration, mutation, transition, transformation, transfiguration, metamorphosis,variety, diversity,inflection, declension, conjugation,sidestepping	Your [Status] can be changed with magic and items, so you should check it whenever you buy things.	【ステータス変化】はアイテムや魔法で直せるから物を買うときに確認しておくのがいいだろう
もの	物	pref	thing, object, article, stuff, substance,one's things, possessions, property, belongings,things, something, anything, everything, nothing,quality,reason, the way of things,used to emphasize emotion, judgment, etc., used to indicate a common occurrence in the past (after a verb in past tense), used to indicate a general tendency, used to indicate something that should happen,item classified as ..., item related to ..., work of ...,cause of ..., cause for ...,somehow, somewhat, for some reason,really, truly	Your [Status] can be changed with magic and items, so you should check it whenever you buy things.	【ステータス変化】はアイテムや魔法で直せるから物を買うときに確認しておくのがいいだろう
ゆうり	有利	adj-na, n	advantageous, favourable, better, stronger,profitable, lucrative, gainful, paying	It's necessary to move ahead effectively. If you pay attention to the types of elementals you use you'll become intermediate in no time.	有利に戦闘を進めるためには不可価だが【属性】を気にして戦えるようになればもう立派な中級者とよべるな
すすめる	進める	v1, vt	to advance, to move forward, to put (a clock, watch) forward,to carry forward (plans, work, etc.), to proceed with, to make progress in, to further, to advance, to hasten, to speed up,to raise, to elevate, to promote, to develop, to stimulate (e.g. one's appetite)	It's necessary to move ahead effectively. If you pay attention to the types of elementals you use you'll become intermediate in no time.	有利に戦闘を進めるためには不可価だが【属性】を気にして戦えるようになればもう立派な中級者とよべるな
あたい	値	n, adj-no	price, cost,value, worth, merit,value	It's necessary to move ahead effectively. If you pay attention to the types of elementals you use you'll become intermediate in no time.	有利に戦闘を進めるためには不可価だが【属性】を気にして戦えるようになればもう立派な中級者とよべるな
りっぱ	立派	adj-na	splendid, fine, handsome, elegant, imposing, prominent,praiseworthy, creditable, worthy,legal, legitimate, lawful,undeniable (e.g. crime), indisputable, solid	It's necessary to move ahead effectively. If you pay attention to the types of elementals you use you'll become intermediate in no time.	有利に戦闘を進めるためには不可価だが【属性】を気にして戦えるようになればもう立派な中級者とよべるな
ちゅうきゅう	中級	n, adj-no	intermediate level	It's necessary to move ahead effectively. If you pay attention to the types of elementals you use you'll become intermediate in no time.	有利に戦闘を進めるためには不可価だが【属性】を気にして戦えるようになればもう立派な中級者とよべるな
あくまでも	飽くまでも	adv	to the last, persistency, thoroughness	I put together this list, but remember, it's just a partial list don't take it too literally.	代表的なものの一例をまとめといてやる。あくまでも一例だ、うのみにするな
うのみ	鵜呑み	n	swallowing without chewing,swallowing (e.g. a story), accepting without questioning	I put together this list, but remember, it's just a partial list don't take it too literally.	代表的なものの一例をまとめといてやる。あくまでも一例だ、うのみにするな
ほのお	炎	n	flame, blaze,flames (of intense emotion, e.g. love, jealousy, anger), passion	Fire Fire effect. Works best on animals and water monsters.	炎　　火の効果。けもの、氷のモンスターにきく。
こおり	氷	n	ice,shaved ice (usually served with flavored simple syrup)	Fire Fire effect. Works best on animals and water monsters.	炎　　火の効果。けもの、氷のモンスターにきく。
れい	冷	n	cold, cool,cold sake	Ice Ice effect. Works best on fire monsters and things that hate the cold.	冷　　氷の効果。寒がり、火のモンスターにきく。
かみなり	雷	n	lightning, thunder, thunderbolt,god of thunder, god of lightning,anger, fit of anger	Lightning Lightning effect. Works best on mechanical things.	雷　　電撃の効果。機械でできたヤツにきく。
でんげき	電撃	adj-f	electric shock,blitz, lightning attack,sudden and without warning, shocking	Lightning Lightning effect. Works best on mechanical things.	雷　　電撃の効果。機械でできたヤツにきく。
つち	土	n	earth, soil, dirt, clay, mud,the earth (historically, esp. as opposed to the heavens), the ground, the land,low-quality torinoko-gami (containing mud),(period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)	Earth Attacks using the earth's power. Doesn't work on flying enemies.	土　　大地の力の攻撃。飛んでるヤツにはきかない。
だいち	大地	n	ground, earth, the solid earth, the (vast) land	Earth Attacks using the earth's power. Doesn't work on flying enemies.	土　　大地の力の攻撃。飛んでるヤツにはきかない。
とぶ	飛ぶ	v5b, vi	to fly, to soar,to jump, to leap, to spring, to bound, to hop	Earth Attacks using the earth's power. Doesn't work on flying enemies.	土　　大地の力の攻撃。飛んでるヤツにはきかない。
どく	毒	n	poison, toxicant,harm, evil influence,ill will, spite, malice,abusive language	Poison Poisons enemies. Doesn't work on any poison-based enemies.	毒　　毒状態にする。もともと毒のヤツにはきかない。
もともと	元々	adv, adj-no	originally, by nature, from the start	Poison Poisons enemies. Doesn't work on any poison-based enemies.	毒　　毒状態にする。もともと毒のヤツにはきかない。
おも	主	adj-na, n	chief, main, principal, important,main secondary or supporting role (in kyogen)	Gravity Gravity-based attack. These hurt if they hit.	重　　重力を使った攻撃。当たるといたいな。
じゅうりょく	重力	n	gravity, gravitation, gravitational pull	Gravity Gravity-based attack. These hurt if they hit.	重　　重力を使った攻撃。当たるといたいな。
あたる	当たる	v5r, vt	to be hit, to strike,to touch, to be in contact, to be affixed,to be equivalent to, to be applicable, to apply to,to be right on the money (of a prediction, criticism, etc.),to be selected (in a lottery, etc.), to win,to be successful, to go well, to be a hit,to face, to confront,to lie (in the direction of),to undertake, to be assigned,to be stricken (by food poisoning, heat, etc.), to be afflicted,to be called on (e.g. by a teacher),to treat (esp. harshly), to lash out at,to be unnecessary,to be hitting well, to be on a hitting streak,(in fishing) to feel a bite,(of fruit, etc.) to be bruised, to spoil,to feel (something) out, to probe into, to check (i.e. by comparison),to shave,to be a relative of a person, to stand in a relationship	Gravity Gravity-based attack. These hurt if they hit.	重　　重力を使った攻撃。当たるといたいな。
みず	水	n	water (esp. cool, fresh water, e.g. drinking water),fluid (esp. in an animal tissue), liquid,flood, floodwaters,water offered to wrestlers just prior to a bout,break granted to wrestlers engaged in a prolonged bout	Water Calls on the earth's water. Works well on fire monsters.	水　　大地の恵みの水を呼ぶ。火のモンスターにきく。
めぐみ	恵み	n	blessing, grace	Water Calls on the earth's water. Works well on fire monsters.	水　　大地の恵みの水を呼ぶ。火のモンスターにきく。
ふり	振り	n	swing, shake, wave, swinging,appearance, behaviour,pretence (pretense), show, pretending (to),going to restaurant, hotel etc. without a reservation or introduction,move (dance), postures,lead in (e.g. to a running joke, asking a question), lead up,unsewn part of a hanging sleeve on a traditional Japanese woman's garment,counter for swords, blades, etc.,not wearing underwear or pants	Wind Calls up the winds. Works well on flying enemies.	風　　大気の風をよびおこす。飛んでるヤツにきく。
たいき	大気	n	atmosphere	Wind Calls up the winds. Works well on flying enemies.	風　　大気の風をよびおこす。飛んでるヤツにきく。
よびおこす	呼び起こす	v5s, vt	to wake (someone) up (by calling for them), to awaken,to call (to mind), to bring back (memories), to evoke, to arouse (e.g. interest)	Wind Calls up the winds. Works well on flying enemies.	風　　大気の風をよびおこす。飛んでるヤツにきく。
せい	聖	n, adj-na	Saint, St., S.,sacred, holy, pure	Holy Calls up the Planet's power. Works well on dark monsters.	聖　　星の力をよびおこす。暗黒のモンスターにきく。
あんこく	暗黒	adj-na, n, adj-no	darkness	Holy Calls up the Planet's power. Works well on dark monsters.	聖　　星の力をよびおこす。暗黒のモンスターにきく。
そうはん	相反	n, vs	inversion, opposition, conflicting, repulsion, contradiction	If you use reciprocal elementals in your attacks, the effect is huge!	相反する【属性】を攻撃に使用することで大きな効果を得られる
しよう	使用	n, vs	use, application, employment, utilization, utilisation	If you use reciprocal elementals in your attacks, the effect is huge!	相反する【属性】を攻撃に使用することで大きな効果を得られる
える	得る	aux-v, v1, vt	to get, to earn, to acquire, to procure, to gain, to secure, to attain, to obtain, to win,to understand, to comprehend,to receive something undesirable (e.g. a punishment), to get (ill),to be able to ..., can ...	If you use reciprocal elementals in your attacks, the effect is huge!	相反する【属性】を攻撃に使用することで大きな効果を得られる
こうりつ	効率	n	efficiency	Also, if you use the same elemental, your defenses are raised. But, you have to be careful because the opposite is also true.	また、同じ属性なら防御の効率があがる。だが……逆もまた真なり。気をつけることだな
ぎゃく	逆	n-pref	reverse, opposite,converse (of a hypothesis, etc.),inverse (function)	Also, if you use the same elemental, your defenses are raised. But, you have to be careful because the opposite is also true.	また、同じ属性なら防御の効率があがる。だが……逆もまた真なり。気をつけることだな
しん	真	n	truth, reality, genuineness,seriousness,logical TRUE,printed style writing,star performer	Also, if you use the same elemental, your defenses are raised. But, you have to be careful because the opposite is also true.	また、同じ属性なら防御の効率があがる。だが……逆もまた真なり。気をつけることだな
みぬく	見抜く	v5k, vt	to see through, to see into (someone's heart, mind, etc.), to perceive, to find out, to detect	To see what elementals an enemy has, you need [Sense] Materia. If you get that Materia, you should try using it.	敵のもっている【属性】をみぬくためには【みやぶる】ことが必要だ。マテリアを手にいれたら、使ってみてくれ
みやぶる	見破る	v5r, vt	to see through (a plot, lie, etc.), to penetrate into, to discover, to find out	To see what elementals an enemy has, you need [Sense] Materia. If you get that Materia, you should try using it.	敵のもっている【属性】をみぬくためには【みやぶる】ことが必要だ。マテリアを手にいれたら、使ってみてくれ
しょうぶ	勝負	n, vs	victory or defeat,match, contest, game, bout	OK! Now your limit gauge is full, go ahead and use it! Fight with your limit technique.	よしっ、【リミットゲージ】はいっぱいだ！えんりょはいらない。【リミット技】で勝負だ！
たいこう	対抗	n, vs	opposition, antagonism	Calm down! When your enemy uses magic counter with [Magic Barrier] or [reflect].	おちつけ！相手が魔法を使うときには【マバリア】か【リフレク】で対抗するのだ
はねかえす	跳ね返す	v5s, vt	to reject, to repulse, to repel,to bounce back, to counterattack, to strike back	[reflect] bounces the attacks off you. But the number of times you can use it is limited so be careful.	【リフレク】は魔法をはねかえすがはねかえす回数に制限があるから気をつけろ
かいすう	回数	n	number of times, frequency, count	[reflect] bounces the attacks off you. But the number of times you can use it is limited so be careful.	【リフレク】は魔法をはねかえすがはねかえす回数に制限があるから気をつけろ
せいげん	制限	n, vs	restriction, restraint, limitation, limit	[reflect] bounces the attacks off you. But the number of times you can use it is limited so be careful.	【リフレク】は魔法をはねかえすがはねかえす回数に制限があるから気をつけろ
そだてる	育てる	v1, vt	to raise, to rear, to bring up,to train, to teach, to educate,to promote the growth of, to nurture, to foster, to develop	If you want to get as strong as me you need to use Materia. And you have to find the best combinations of them.	俺みたいに強くなりたければマテリアを効率よく育て最適な組み合わせをさがすことだな
さいてき	最適	adj-na, n, adj-no	optimum, the most suitable	If you want to get as strong as me you need to use Materia. And you have to find the best combinations of them.	俺みたいに強くなりたければマテリアを効率よく育て最適な組み合わせをさがすことだな
くみあわせ	組み合わせ	n	combination, assortment, set,matching (in a contest), pairing,combination	If you want to get as strong as me you need to use Materia. And you have to find the best combinations of them.	俺みたいに強くなりたければマテリアを効率よく育て最適な組み合わせをさがすことだな
そうび	装備	n, vs	equipment	The type of Materia you put in your weapons and armor will determine how quickly your Materia grows.	装備する武器や防具のしゅるいによってマテリアの成長のスピードはちがう
せいちょう	成長	n, vs	growth, development, growing up, becoming an adult,growth (of a company, the economy, etc.)	The type of Materia you put in your weapons and armor will determine how quickly your Materia grows.	装備する武器や防具のしゅるいによってマテリアの成長のスピードはちがう
スピード		n	speed	The type of Materia you put in your weapons and armor will determine how quickly your Materia grows.	装備する武器や防具のしゅるいによってマテリアの成長のスピードはちがう
あく	開く	v5k, vi	to open (e.g. doors),to open (e.g. business, etc.),to be empty,to be vacant, to be available, to be free,to be open (e.g. neckline, etc.),to have been opened (of one's eyes, mouth, etc.),to come to an end,to open (one's eyes, mouth, etc.),to have a hole, to form a gap, to have an interval (between events)	Put Materia into the open slots in your weapons and armor. The possible combinations are limitless.	武器や防具にあいている穴の形によってマテリアの組み合わせは無限に広がる
あな	穴	n, n-suf	hole,deficit, shortage, missing person (in a team, meeting, etc.),vacancy, opening,flaw,profitable place (or item, etc.) not well known by others,upset victory (with a large payoff),pit (of a theater),hiding place,underbelly (of society, etc.)	Put Materia into the open slots in your weapons and armor. The possible combinations are limitless.	武器や防具にあいている穴の形によってマテリアの組み合わせは無限に広がる
むげん	無限	adj-no, adj-na	infinity, infinitude, eternity,infinite, limitless	Put Materia into the open slots in your weapons and armor. The possible combinations are limitless.	武器や防具にあいている穴の形によってマテリアの組み合わせは無限に広がる
アドバイス		n, vs	advice	That's about all I can tell you. If you want to be like me, you have to have some natural talent.	俺にアドバイスできるのはそのくらいのことだ。もっとも生まれついた素質がなければ俺のようにはなれんがな
もっとも	最も	adv	most, extremely	That's about all I can tell you. If you want to be like me, you have to have some natural talent.	俺にアドバイスできるのはそのくらいのことだ。もっとも生まれついた素質がなければ俺のようにはなれんがな
うまれつく	生まれつく	v5k, vi	to be born (with), to be born (to be), to be destined	That's about all I can tell you. If you want to be like me, you have to have some natural talent.	俺にアドバイスできるのはそのくらいのことだ。もっとも生まれついた素質がなければ俺のようにはなれんがな
そしつ	素質	n, adj-no	character, qualities, genius, the makings of	That's about all I can tell you. If you want to be like me, you have to have some natural talent.	俺にアドバイスできるのはそのくらいのことだ。もっとも生まれついた素質がなければ俺のようにはなれんがな
なれる	慣れる	v1, aux-v	to get used to, to grow accustomed to, to become familiar with,to become skilled in, to become experienced at,to become tame, to become domesticated,to get used to doing	That's about all I can tell you. If you want to be like me, you have to have some natural talent.	俺にアドバイスできるのはそのくらいのことだ。もっとも生まれついた素質がなければ俺のようにはなれんがな
おこる	怒る	v5r, vi	to get angry, to get mad,to tell someone off, to scold,to be angular, to be square	Listen kids, don't piss me off!	俺を怒らせるな！
はやる	流行る	v5r, vi	to be popular, to come into fashion,to be prevalent, to spread widely (e.g. disease), to be endemic,to flourish, to thrive	That's all right. Just give it a try. Little by little, you'll get used to it.	大丈夫だ、まずはやってみろ。そのうち、なれてしまう
そのうち	その内	exp, adv	before very long, soon, someday, one of these days, sooner or later,of the previously mentioned, of that number, among them, among others	That's all right. Just give it a try. Little by little, you'll get used to it.	大丈夫だ、まずはやってみろ。そのうち、なれてしまう
じょうでき	上出来	n, adj-no, adj-na	good performance, good work, great success	Great!	上出来だ
そうさ	操作	n, vs	operation, management, handling,manipulating (to one's benefit), manipulation, influencing	How to use the buttons.	『基本的なボタン操作方法』
ほうほう	方法	n	method, process, manner, way, means, technique	How to use the buttons.	『基本的なボタン操作方法』
