Who goes there!?	なんだ、おまえたちは！
There is no such thing as the Promised Land. It's a legend…an old wives tale… …It's utterly ridiculous.	約束の地など存在しない。伝説……言い伝え……ばかばかしい
Everything's as I imagined it to be. Isn't it splendid?	想像していたとおりのものがここにある。それで良いではないか？
It is that kind of dullness that makes you a second-rate scientist.	そのカタさが二流科学者の限界だな
What's happening?	どうした！？
It's coming from within the wall! Something's in there! It's moving!	壁の中よ！何か入ってる！　動いてる！
Weapon…	ウェポン……
Then it really does exist… I didn't believe in it.	……本当にいたのか。信じてはいなかった
What does this mean?	なんだというのだ？
…Weapon. A monster created by the Planet.	……ウェポン。星が生み出すモンスター
They appear when the Planet's in danger and destroy everything.	星の危機にあらわれてすべてを無にする……
That's what was stated in Professor Gast's report.	ガスト博士のレポートにはそう記されていたな
I never saw that report… Where is it?	そんなレポートは見たことがない。……どこにある？
Here, right here.	ここだ、ここ
You keep a lot of things to yourself.	君は隠し事が多いな
Mr. President… I've got a bad feeling about this place…	社長……なんだかイヤ～な予感がするわ
Hmm…maybe we should go back to our ship now. We need to prepare for the inspection anyway.	フム……一度飛空艇に帰ろうか。本格的な調査の準備も必要だしな
Hey!!! Where did you come from?	ちょっと！！どこから来たのよっ！
…Don't know…	……さあ
This place is going to get rough.	ここはあんたたちの手には負えない
Better leave things to me and get out of here while you still can!!	あとは俺にまかせてさっさと出て行け
Leave things to you? Hmph…I don't know what you mean.	……おまえにまかせる？フッ……良くわからないな
This is where the Reunion is happening. Where everything begins and ends.	ここはリユニオンの最終地点。すべてが終わり、また始まる場所
CLOUD?	CLOUD……？
Hey! We're here to help you!	おう！助けに来てやったぞ！
I'm here! I'm here to help you, CLOUD!	来たよ！助けに来たよ、CLOUD！
Thanks…BARRET. Where's the Black Materia?	ありがとう……BARRET。黒マテリアは？
Thanks…RED XIII. Where's the Black Materia?	ありがとう……RED XIII。黒マテリアは？
It's safe. I have it.	だいじょうぶだ。ちゃんと持ってるぜ
It's safe. I'm holding on to it.	だいじょうぶ。しっかり持ってるよ
I'll take it from here. Give me the…Black Materia.	ここからは俺がやる。黒マテリアを……俺に
Are you all right, CLOUD?	だいじょうぶ？　CLOUD
Okay then, here. Had a lot of pressure holding this thing.	じゃあ、これ。すげえプレッシャーだったぜ
Then…here you go. I was a little apprehensive holding this thing.	それじゃあ、はい。これ持ってるの恐かったんだ
Thanks. Leave the rest to me.	ありがとう。あとは俺が…………やります
Sorry to make you worry, but I'm all right now.	心配かけたけどもうだいじょうぶです
I'll make sure that the Black Materia is delivered.	黒マテリアは俺がちゃんととどけますから
Come on. The Black Materia…	『さあ、黒マテリアを……』
Please wait! Just a little longer!!	待ってください！　もう少しだけ！
Everyone, thanks for everything. And…I'm sorry.	みんな、今までありがとう。それに……ごめんなさい
…Sorry.	……ごめんなさい
…Sorry.	……すいません
Especially you, TIFA. I'm really sorry.	特にTIFA……さん。本当にごめんなさい
You've been so good to me… I don't know what to say…	いろいろ良くしてくれたのに……なんて言ったらいいのか……
I never lived up to being 'CLOUD'.	俺、CLOUDにはなりきれませんでした
TIFA… Maybe one day you'll meet the real 'CLOUD'.	TIFAさん……いつかどこかで本当のCLOUDくんに会えるといいですね
Professor Hojo…	宝条博士……
Ha,ha,ha… this is perfect!!!	クックックッ……素晴らしい……
It means that my experiment was a complete success.	私の実験がパーフェクトに成功したわけだな
What number were you? Huh?  Where is your tattoo?	おまえ、ナンバーはいくつだ？ん？イレズミはどこだ？
Professor Hojo… I don't have a number.	宝条博士……俺、ナンバー、ありません
You didn't give me one because you said I was a failed experiment.	俺、失敗作だから博士がナンバーをくれませんでした
What the--? You mean only a failure made it here?	なんということだ……失敗作だけがここまでたどりついたというのか……
I didn't know the 'Reunion' already started.	リユニオンが始まってること俺、ずっと知りませんでした
But, here I am. And I brought the Black Materia with me Just as Sephiroth wanted.	でも、ここまで来たんです。セフィロスの望みどおりに黒マテリアも持ってきました
Shut up, miserable failure…	だまれ、失敗作め……
Professor…please give me a number. Please, Professor…	博士……ナンバー、ください。俺にもナンバーをください……
Won't you give me one? …Professor?	ダメですか……博士？
I never dreamed what I thought was a success…was actually a failure, and that which I considered a failure was my greatest success…	私が成功とみなした個体が失敗……失敗と判定したおまえが最も優れていたとは……
What are you guys talking about?	おまえたちは何の話をしているのだ？
You can't hear my voice?	私の声、聞こえないの！？
No, don't!!! Please! Stop CLOUD!	だめ、だめよ！CLOUDを止めて！
Did you see it!! It's Sephiroth! So he IS here!	見たか！！　セフィロスだぞ！やはり、ここにいたのだ！
This is perfect! Both Jenova's Reunion and Sephiroth's  will!	素晴らしい！ジェノバのリユニオンとセフィロスの意志のちから！
They won't be diffused into the Lifestream, but gathered here!	ライフストリームに拡散することなくここに結集したのだ！
Mwa, haa, ha…	クァックァックァッ！
What are you so happy about, Professor? You know what this means, don't you?	宝条博士……何がそんなにうれしいの？どういうことかわかってるの……？
CLOUD has the Black Materia!	CLOUDは黒マテリアを持っているのよ！
Sephiroth is going to summon Meteor! Every single person is going to die!	セフィロスはメテオを呼んでしまうのよ！みんな、みんな、死んじゃうのよ！
Whatever I say now is too little… too late. We must evacuate.	もう、何を言っても遅い……そろそろ、ここから出た方が良さそうだ
I want you all to come with me. There's still much more I want to know.	君たちも一練に来てもらおうか。いろいろと話が聞きたい
Yo!   CLOUD! Stop! Don't do it!	おい！　CLOUD！やめろっ！　やめてくれ！
CLOUD, NO! Stop!  Please!	CLOUD！　やめて！　やめてよ！
CLOUD!!	CLOUDーーーーー！！
Who…was that?	あいつは……何者だ？
…He's a Sephiroth-clone I created after the real Sephiroth died five years ago.	……５年前、セフィロスが死んだ直後に私が創ったセフィロス・コピーのひとつ
Jenova cells and Mako, with my knowledge and skills, have been combined with science and nature to bring him to life.	ジェノバ細胞と魔晄、それにくわえて私の知識、技術、ひらめきが生み出した科学と神秘の生命、セフィロス・コピー
…I'm not wild about the failure part, but the Jenova Reunion Theory has now been proven.	……失敗作だというのが気に入らないがジェノバのリユニオン仮説は証明された
You see, even if Jenova's body is dismembered, it will eventually become one again. That's what is meant by Jenova's Reunion.	ジェノバは身体をバラバラにされてもやがてひとつの場所に集結し再生する。これがジェノバの『リユニオン』だ
I have been waiting for the Reunion to start. Five years have passed, and now the clones have begun to return.	リユニオンの始まりを私は待った。５年がすぎ……コピーたちは動き出した
I thought the clones would begin to gather at Midgar where Jenova is stored.	ミッドガルに保管していたジェノバのところにコピーたちは集まってくるはず……
But my predictions were not entirely correct. Jenova itself began to move away from the Shinra Building.	しかし、私のこの予想ははずれた。そればかりか神羅ビルのジェノバも移動を始めた
But being the genius that I am, I soon figured it out. You see it was all Sephiroth's doing.	……私は天才だ、すぐにわかった。セフィロスの仕業だ
Sephiroth is not just content to diffuse his will into the Lifestream. He wants to manipulate the Clones himself.	セフィロスの意志はライフストリームで拡散することなく、セフィロス自身としてコピーをあやつりはじめたのだ……
Yes, that was how it got started.	そうです、それが始まりでした
I wondered where the clones were going, but I was never able to figure it out.	コピーたちはどこへ行くのだろう……私にはわからなかった
I couldn't figure it out either.	俺自身にもわかりませんでした
The one thing that I did know was that Sephiroth was at their final destination.	ただ、わかっていたのは目的地にはセフィロスがいるはず、ということだ
I wasn't pursuing Sephiroth.	俺、セフィロスを追っていたんじゃなかったんです
I was being summoned by Sephiroth.	セフィロスに呼ばれていたんです
All the anger and hatred I bore him, made it impossible for me to ever forget him. That and what he gave me.	セフィロスへの怒りと憎しみ。それは俺がセフィロスのこと、忘れないようにとセフィロスがくれたおくりもの……
Sephiroth? Sephiroth? I'm here. And I brought you the Black Materia.	セフィロス？　セフィロス？俺、来ました。黒マテリア、持ってきました
Show yourself to me. Where are you?	姿を……見せてください。どこにいるのですか？
Sephiroth… So we finally meet again.	ああ……セフィロス……やっと会えましたね
North Cave 5 -3	北の大空洞５～３
CLOUD…	CLOUD…
I didn't know what to do. I was always like that…	………どうしたらいいかわからなかった。いつだってそうだった…
What's the matter?	どうしたね？
ohhh…	うう………
…poor kid.	………かわいそうに
Ooouugh…	うぁああ………
oo…uh…agh	う……あ……ああ
Are you all right?	大丈夫ですか？
Uh…uh…TIFA?	あ……ぁ……TIFA……？
TIFA?	TIFA……？
TIFA!	TIFA！
Oh, CLOUD!	あ、CLOUD！
That's right. I'm CLOUD.	その通り。俺はCLOUDだ
Is it really you, CLOUD? I never thought I'd find you here!	ほんとにCLOUDなのね！こんなところで会えるなんて！
Yeah, it's been a while.	ああ、ひさしぶりだな
What happened to you? You don't look well.	でも、どうしたの？具合悪そうだったけど
Yeah? It's nothing. I'm okay.	……そうか？いや、そんなことはない。普通だ
How long has it been?	何年ぶりかな？
Five years.	５年ぶりだ
…it's really been a long time.	……ほんとうに久しぶりね
Actually, it's been seven years.	ほんとうは７年ぶりだった
You joined SOLDIER but quit after the Sephiroth incident, and now you're a mercenary…	希望どおりにソルジャーになったことセフィロスの事件をきっかけにやめてしまったこと、何でも屋をやっていること……
You told me a lot about what happened after you left Nibelheim… 	ニブルヘイムを出てからのこといろいろ話してくれたけど……
…Something was wrong. I felt there was something strange about the things you talked about.	……ちょっと変だな。CLOUDの話してること少しずつ変だなと思ったの
All the things you didn't know that you should, And other things you shouldn't know that you did.	知ってるはずのこと知らなかったり知らないはずのこと知ってたり……
I wanted to make sure…	私はいろいろ確かめたかった
But then I heard…you were going far away…	でも、聞いたら……CLOUDどこか遠くへ行ってしまいそうで……
And I didn't want that…	それは……いやだった
…I didn't know what to do. So, I thought I needed more time.	……どうしたらいいかわからなかった。時間が必要だって思ったの
And that's why I told you about the AVALANCHE job. I wanted to be with you and watch you.	だから、CLOUDにアバランチの仕事をしょうかいした。そばにいて、よく見ていたかったの
…ding…	…ぶ…しい……
Huh?	あんっ？
The glare…	まぶしいね……
You'll be okay soon. You've been asleep a long time.	しばらくのしんぼうだ。ずっと眠ってたからな
I'm…hungry…	おなか……すいたね……
About him?	アイツのことをよ
…I'm scared.	…………こわいから
Don't worry. I don't know what happened to CLOUD either.	それなら安心してくれ。オレもCLOUDがどうなったのかはわからねえ
Guess I shouldn't tell you not to worry…	安心してくれってことはないか……
They don't know if he's alright either.	他のヤツらもよ無事かどうかさえわからねえんだ
Is he still…alive?	きっと……生きているよね
How long…was I asleep?	私……どれくらい眠ってた？
Let's see now… Must've been about 7 days.	え～と……あれから７日たってるはずだぜ
It ain't over yet. Remember that huge light, in the Northern Cave?	まだ復活はしていねえみたいだな。あの大きな光は覚えているか？北の大空洞の？
Well now the crater's surrounded by a huge light barrier.	あの後、クレーターは光の大きなバリアでつつまれちまった
Everyone knows Sephiroth sleeps in there protected by the barrier.	セフィロスはバリアに守られながらあの大穴で眠ってやがるって話だ
We can't do a damn thing about it. We just gotta wait till he wakes up.	オレたちには手も足も出せねえ。ただ目覚めの時を待つってだけさ
On top of that, some huge monster called Weapon's been on the rampage.	しかもよ、ウェポンとかいう巨大モンスターがあばれてやがる
…Weapon?	……ウェポン？
Remember that huge monster with Sephiroth, at the bottom of the crater?	クレーターの底でセフィロスのまわりにいたバケモノを覚えてるか？
Well it's up here now. They say it's some legendary monster from the past.	あれが地上に出てきたんだ。古代に生きていた伝説の巨獣だって話だぜ
Weapon…is protecting Sephiroth?	ウェポン……はセフィロスを守っているの？
Dunno. But he's been goin' around tearin' stuff up.	わからねえ。でも、とにかくそいつらが現れて世界を襲い始めた
Right now that Rufus is fightin' it. I hate to admit it, but he's got guts.	ルーファウスはそいつと戦ってるのさ。気にくわねえがたいした奴だよ
We shoulda been the ones to destroy it, but there ain't no time…	本当は俺たちが倒してえところだが時間がねえ……
Time…	時間……
… Hey! How about Meteor?	……そう！　メテオは？
Do we have to give up?	あきらめなくちゃならないのかな？
I thought CLOUD would show up to save you all…	おまえを助けるためにCLOUDがあらわれると思っていたが……
Professor Hojo wanted to check up on CLOUD, too.	宝条博士もCLOUDを調べたがっていてな
What are you going to do to CLOUD?	CLOUDをどうするつもり！
Sephiroth's alter ego…	セフィロスの分身……か
Meteor has been summoned… Essentially, it's all but over now.	メテオを呼んでしまった今となってはおはらいばこのようだな
So, there's no need for you now.	というわけで、おまえたちにももう用はない
No, maybe there is an important task for you…	いや、大切な仕事が残っている……かな
President! Preparations for the public execution are complete.	社長！処刑の準備がととのいました
Execution!?	処刑だぁ！？
You are to be executed for causing this situation.	おまえたちはこの事態を引き起こした者として処刑される
I take back the good things I said bout this damn jackass!	この野郎をチラッとでもほめたのは取り消すぜ
Well, enjoy your last moments together.	ま、最後のひとときを楽しむが良い
I'll tie your arms now.	腕をしばらせてもらおうか
Hey! Walk straight!	こら！　まっすぐ進め！
Is everyone here? These are the ones who brought this madness to the world!	みなさんお集まりになった？この者たちが世界をこんな混乱に落としめた張本人たちよ！
The hell are these people?	何だこいつらは？
We will be broadcasting your miserable deaths live on national television.	あなたたちのぶざまな死にざまをテレビで全国中継するのよ
Scarlet, why a public execution in this day and age?	スカーレットさん。なぜ今回はこのような公開処刑を？
With the chaos resulting from the Meteor reports, we desperately need to rally public support… it's better that we punish somebody, anybody.	メテオで混乱した民衆をまとめるには誰か一人、悪者をつくるのがベストなのよね
You make me sick…	悪趣味……
Ha, ha, ha, ha !	キャハハハハハ！
They'll never admit it, but everyone loves this stuff!	口には出さないけどみんな本当はこういうのが大好きなのよ！
We'll start with this girl.	さ、まずはこの娘からよ
If you've gotta do it…take me first!	やるんならまずオレからやれ！
Camera, this way! Make sure you get this, the audience just eats up tearful goodbyes!	ほらほら、カメラさん、こっち！こういうお涙ちょうだいしばいが最高にウケるのよね！
This is my special gas chamber. Take your time and enjoy a slow painful death.	私の特製ガスルームよ。じっくり時間をかけて思う存分苦しんでちょうだいね
Stuck up ^%$#&!!	なまいきね！！
What are you doing!?	何するのよ！
What'd you do? Hey! Open it!	どうしたの？こら！　あけなさい！
First you lock me in this weird place, and now you're telling me to come out? Make up your mind!	自分でこんな変な場所入れておいて今度は出てこいですって？勝手なこといわないでよ！
Don't make me pry it open!	こじあけてやるわ！
Gas!!	ガス！！
BARRET, help!!	BARRET助けて！！
Hold your breath! Hold on as long as you can!	息をとめてろ！少しでも長くガマンするんだ！
Come on! I can't hold on forever!	むちゃ言わないで！とめるって言っても限界があるわ！
Move your feet and arms, then use your	手足を動かし、頭を働かせて
head to get out of the chair.	何とかイスから脱出しろ
[MENU]…(Head)	△ボタン　…　【頭】
[SWITCH]…(R Arm)[OK]…(L Arm)	□ボタン　…　【右手】　　○ボタン　…　【左手】
[CANCEL]…(Legs)	×ボタン　…　【足】
Try different patterns.	ワンパターンではだめ
Try and combine two movements at once.	２つの行動を同時に組み合わせろ
Which button stops the gas?	ガスをとめるボタンは……？
Open it---	開いてぇぇぇーーーーー……
Well now, the show's about to begin. Ha, ha, ha !	さ、楽しいショウが始まるわよ。キャハハハハ！
Emergency! Emergency!	緊急警報！緊急警報！
Weapon's approaching! Attention all military personnel: take your positions!	ウェポン襲来！総員戦闘配備！
Oh no! It's Weapon!	うわぁ！ウェポンだ！
Run!	逃げろ！
Hey, hey, all of you!	ちょ、ちょっとあなたたち！
Damn! Why now?	ちっくしょう～こんないい時に！
How does it feel now, Scarlet?	スカーレットさん、今のお気持ちは？
Hmm, so you didn't run? I'm impressed. How do I feel? Right now…	おや、お前は逃げないでいたの？感心感心……なに？　気持ち？今の気持ちねえ……
Nngaaaaaahhhh!	ンガーーーッ！
Huh!? Sleeping gas?	なにっ？！　さいみんガス？
Weirdo!!	くせもの！！
I'm here to help!	助けに来ましたで
Why you… Ain't you part of Shinra?	どうしておまえが……神羅の人間だろ？
Let's just say I'm against capital punishment. Besides…I hate this broad. Come on, we gotta help TIFA.	死刑には反対なんです。この女も嫌いやし。さ、はよTIFAさん助けんと
I'll keep watch at the entrance.	入口、見張っときますから
It won't open!	あかないぜ、こりゃ！
#$*&!	クッソー！
The Gas Room's probably locked from a different room!	多分別の部屋からガスルームのとびらをロックしてるんだ！
Hmm, we gotta go with a different plan. Let's get out of this room first.	しゃあない、作戦チェンジですわ。いっぺんこの部屋から出ましょ
TIFA! I'll help you, I promise!	TIFA！かならず助けてやっからな！
Let's run to the airport!	エアポートまで走るで！
The airport?	エアポートだぁ？
Trust me, trust me.	ええから、ええから
…Fools… I've already pushed the switch…	……ばか……め……もうスイッチは……押しちゃったわよ……
You can't pass.	ここから先は立入禁止だ
Where you goin'? The airport's the other way.	どこいくねん？エアポートは逆やで
No! They locked this too!	しまった！ここのカギも閉められた！
Fools. Now, you can't save the girl.	おバカさんたちね。これでもう、この娘は助けられないわよ
Ha, ha, ha, ha !!	キャハハハハハハハ
Goddammit!!	チックしょーー！！
OK, OK time for Plan B. Let's run to the airport!	むむぅ～、またまた作戦チェンジですな。エアポートまで走るで！
Why the airport? An' leave TIFA there?	エアポートだぁ？TIFAを放っといて、なんでそんな所へ？
Trust me, trust me. We gotta take a chance.	ええから、ええからこないなったらイチかバチかや
Damn, man!	たいへんだぜ！
I know you're in a hurry! But, may have a word…	お急ぎのところすみません！ちょっとインタビューを……
Shu'up!! I'm in a hurry!	うるさい！！　オレは急いでるんだ！
Kiiiiin…	きぃぃーーーーーーーーん……
Don't make so much noise. It's me, ME! YUFFIE!	大きな声ださないでよ……アタシよ、アタシ！　YUFFIEよ！
The hell you doin' here!?	なんでこんなところに！？
I'll explain later! Now we gotta get to the airport!	説明はあと！さ、エアポートへ急いで！
It's Weapon.	ウェポンです
There's been so many attacks lately. Can we handle it?	最近やけに多いな。防げるか？
I believe so. Your orders?	なんとか。攻撃の許可は？
No need to ask.	聞くまでもない
We'll give it a shot from our big cannon.	じまんの大砲を一発くらわせます
Open cannon doors!! Activate cannon. Target: Weapon!!	全砲門ひらけ！！キャノン砲修正、目標ウェポン！！
The cannon…	キャノン砲……
Fire----!!!	発射ーーーーーーーーーーーーーーーーー！！！
Ready!	準備ととのいました！
Did we get 'em?	やったか？
Seems so…	おそらく……
Weapon approaching!	ウェポン接近！
Speed, 50 Knots!	速度５０ノット！
It's heading right toward us!	まっすぐこちらに向かってきます！
It can't be! We hit it dead on!	ばかな！　確かに命中したはず！
How about the cannon?	キャノン砲は？
It'll take time to reload.	準備に時間がかかります
Then use regular fire power in the meantime!	それまで通常兵器で時間をかせげ！
Yes sir! Open all artillery doors! Target: Weapon! Don't let it land!	は！　全砲門開け！目標ウェポン！　陸にあげるなよ！
Speed, 70 Knots!	速度７０ノット！
Weapon, closing in!!	ウェポン、なお接近中！！
Not good! It's attacking!	ダメです！衝突します！
Yo! You sure this is the right way? It's a dead end!	おい！　本当にこっちでいいのか？行き止まりだぞ！
Uh oh? Did I make a wrong turn?	あれぇ？道、まちごうたかな？
You damn cat! What the hell're we gonna do now? They all be comin' soon!	ばっかやろーーー！どうすんだい？もうすぐ大勢やってきちまうぜ！
Yo, better watch my back till the end…partner!	最後までもってくれよ……あいぼう！
Our little game of hide and seek ends here.	オニごっこはここまでよ
The execution may have been unsuccessful, but your death by falling and crashing into the water below might still be pretty exciting.	ガス処刑は無理だったけどここから落ちて水面にたたきつけられて死ぬってのもス・テ・キ、かもしれないわね
Stuck up to the end!	最後までなまいきね！
How can you!?	やったわね！
What!?	なによ！
You!!	こいつ！！
Pay back!!	お返し！！
That hurts!	いたいわね
Stop it!	やめてよ！
That's enough!	いいかげんにしなさい！
Same to you!!	そっちこそ！！
[OK]…Slap	○ボタン　和手うち
Quit slapping me! You old $*&^%!!! (Push [OK]!)	さっきからパンパンいたいのよ！この年増女！！！！（○ボタンを押せ！）
Take her away.	さ、連れていきなさい
God! I can't stand it!	キ～～～ッ！くやしい！
Why are you still standing there!? Catch her and take her away!	何をぼやぼやしているの？！つかまえて連れていきなさい！
Now it's time to pay up. Calm down or I'll drop you!	さあ、ねんぐのおさめどきよていこうすると本当に落とすからね
Kya, ha, ha, ha !	キャハハハハハハ！
Run…	はしれ……
Run to the end of the Cannon!!	砲の先に向かって走れ！！
Highwind	ハイウインド
My cheeks hurt a bit.	ちょっとホッペタ痛いけどね
Forget it, what's all this about?	それより、これ、どういうこと？
Well, I'll catch the details later.	まぁ、くわしい話はあとで適当に聞いといてくださいな
In any case, the airship, Highwind, is now yours.	とにかく飛空艇ハイウインドはみなさんのモンですわ
Ha! Ha…urk!	ハァハァ……ウップ
Well…I'm glad you're safe.	ハァ……無事で良かったね
I'm going to stay up here a little longer.	アタシ……もすこし、ここにいるから
…Urk…I get sick on ships either in the air or water.	……ウップ……海でも空でも船はダメなんだよ、アタシ--
I wonder where you're taking me?	どこへ連れていってくれるのかな？
Dammit! Why didn't ya tell me you could fly an airship!?	てめえ、飛空艇が使えるんなら最初っから言えよな！
I thought… TIFA was gone for good.	オレはよ……TIFAともサヨナラかと思ったぜ
Sorry, but I had to do something to trick the enemy.	すんませんな～でも、敵をあざむくにはなんとやら、ですわ
Come on! Everyone is waiting!	さ！　みなさん待ってますから！
Everyone? Everyone's here?	みんな！？みんないるのね！
Yo, CID!	おい！　CID！
When you're ready, we're headin' for the Corel Reactor. C'mon Leader-man, let's hurry.	準備ができしだい【コレル魔晄炉】へ出発だ！急げよ、リーダーさん！
CID????	CID……パシリ？
…Urk… …I'm not down yet.	……ウップ…………負けないぞォ
Sorry!! Go speak to Captain CID!	す、すいません！一度CID艇長とお話を！
TIFA, thank you for a job well done!	TIFAさんごくろうさまです！
CID, thank you for a job well done!	CIDさんごくろうさまです！
My hands are full, so I'll excuse myself here!	ごくろうさまです！手をはなせないので、このまま失礼します！
Fly Airship	飛空艇操作
Chew the fat	雑談でも
[ASSIST] to move ahead	【決定ボタン】　　　前へ進む
[CANCEL] to land	【キャンセルボタン】着陸
[MENU] to call the bridge	【メニューボタン】　ブリッジを呼ぶ
[Directional button:up] lower altitude	【方向キー　上】　　高度を下げる
[Directional button:down]  raise altitude	【方向キー　下】　　高度を上げる
[Directional button:left]  move left	【方向キー　左】　　左へ！
[Directional button:right]  move right	【方向キー　右】　　右へ！
[PAGEUP] arc Left	【Ｌ１ボタン】　　　左へ！
[PAGEDOWN] arc Right	【Ｒ１ボタン】　　　右へ！
[ASSIST] toggle map	【ＳＥＬＥＣＴ】　　地図ＯＮ／ＯＦＦ
[START]  toggle map	【ＳＴＡＲＴ】　　　地図ＯＮ／ＯＦＦ
So things have come to this… When you want to take off, just tell the pilot on the bridge.	だいたいこんなカンジになってますね。ビャーッと飛びたい時はブリッジのパイロットに話しかけて下さい
…Well… Um, what should I talk about?	…………えっとえっと、えっと、何話そうかな
Wanna hear why we rebelled?	あ、ボクたちの反乱の話をさせてください
Listen	聞かせて
Don't care	聞きたくない
Working on the Highwind, we spent every day slaving under Heidegger.	ボクたちハイウインドのクルーは毎日毎日ハイデッカーにコキ使われていました
Whenever he got yelled at by the President, he'd immediately take it out on the crew.	あの人、社長にしかられるとすぐにクルーにやつあたりするんです
We put up with this all the time, even when he beat us.	ボクたちは、ず～っとガマンしてました。なぐられてもなぐられても
I mean, I finally made it on the crew of the famous Highwind, and there's no way I was going to quit over him.	あこがれのハイウインドのクルーになれたのにそんなことでやめるのは悔しいですからね
Let's see, it must've been a week ago…it was my shift and we were heading towards the North Cave.	そんなある日……たしか、７日前でしたよね。北の大空洞行きの任務の時です
Everyone, including the President and Scarlet, got on.	社長やスカーレット部長といっしょにみなさんが乗りこんできたわけです
And with them, I saw CID, a legendary pilot!	その中に伝説のパイロットCIDさんの姿が！
And he was looking around the inside of the ship looking really, y'know, nostalgic…	CIDさんはなつかしそうに船内を見てまわってまして……
He even talked to us.	なんとボクたちにも声をかけて下さったんです
I couldn't believe it! I was so impressed! He was every bit as warm-hearted as we'd always heard.	感激！　感激！　感激です。ウワサどおりの熱いハートの人でした
CID said that if he had the Highwind, things would be a lot easier.	CIDさんはハイウインドがあれば旅が楽になるとおっしゃりました
And now here we are off to save the Planet. It's true. He really overwhelmed me.	なんと、星を救う旅だそうですね。ホント、感動しちゃいましたよ
And that's why we decided to help.	それで、ボクたちは協力することにしたんです
After the North Cave, we went to Junon, and I started screaming 'Fire! Fire!'	大空洞からジュノンに着いたときボクは火事だ火事だと騒ぎました
In the middle of all the commotion, we stole this ship from the Shinra.	そのどさくさにまぎれてCIDさんとボクたちは船を神羅から盗んだんです
That's how it happened. Just a minor mutiny against our leaders.	これがボクたちの反乱の話です。……上司へのささやかな反乱ですけどね
But BARRET and you were captured by Heidegger…	でも、BARRETさん、TIFAさんがハイデッカーにつかまってしまって……
We waited seven days for a chance to rescue you guys before we finally could.	７日間、救出のチャンスをうかがってついに実行に移しました
So thanks to our successful mission, we were able to see you again.	ですから、TIFAさん……作戦成功、お会いできてうれしいです！
I hope I didn't bore you too much with that long story.	長い話、聞いて下さってありがとうございました！
Huh?  Don't you want to test my memory on how we met CID?	あれっ？　CIDさんってば忘れちゃったんですか？あ、ボクが覚えてるかどうかテストしたんですね！
I'm not just shooting the breeze! I'm also working!	雑談なんてとんでもないです！ボク、ちゃんと仕事してますよ！
Oh, yeah, yeah. Are you using Chocobos?	あ、そうそう。チョコぼうは使ってますか？
I mean, just loading them up and transporting them.	チョコボをつんでどこかに運ぶだけなんですけどね
I wonder what everyone's going to do when this fight's over?	この戦いが終わったらみなさん、どうするんですかね
I wonder what's gonna happen to the Highwind?	この船……ハイウインドはどうなってしまうんでしょうね……
Where's the next stop? Can't you get there any quicker?	つぎ、どこ行くの？はやく行こう？
CLOUD, put me in your party, so I can get off this ship.	それでさ、アタシをパーティーにいれて船からおろしてよ、ね、CLOUD
Hmph!	チェッ……
I wonder why anyone would ever make an airship like this…	どうしてこんな乗り物なんかあるんだよ……
Ugh…ugh…	はぁ……はぁ……
What? Are we there?	なに？　どっかついた？
I know it's all for Wutai, But I can't take much more of this.	強いウータイのためとはいえアタシ、つらいよ
CLOUD…urp…ugh.	CLOUD……はぁ……うっぷ
You know, I was thinking…phew… Why does Materia always have something to do with battles or magic?	アタシ、考えたんだけどさ……フゥ……どうしてマテリアには魔法とか戦いの知識ばっかりなんだろうってさ
I bet the Ancients must've always been fighting.	きっと、古代種ってのは戦ってばかりいたんだよ、きっと
It must've been…ugh…terrible…	大変……ウップ……だったんだろね
Are you waiting for CLOUD?	CLOUD……につまってんの？
He's flying right now, so you can't get him.	空なんか……飛んでるからダメなんだよ
Were you going to force me into the submarine right now?	あ、今、アタシを潜水監に押しこもうって思った？
Quit it! If you want to go, then just leave me behind.	それはヤメテ！行くんなら、アタシ、つれてかないで
…ooooooh. What're you talking about? I…	……うう。何言ってるんだ、アタシ……
What's the pilot like?	パイロット……どんなやつ？
Tell him YUFFIE says if he pilots the plane smoothly, I'll give him my autograph…	ゆらさないでくれたらあとでYUFFIEちゃんがサインしたげるって伝えて……
Headed for…Midgar?	ミッドガル……行くの？
Uh, a, anywhere's fine…I don't care. Just hurry up and land this thing.	あ、アタシ、どこでもいい。早くおろして
CLOUD…sign this.	CLOUD……この書類にサインして
It's a contract that says when the war is over, all the Materia will belong to me.	戦いが終わったら、マテリアはぜ～んぶ、YUFFIEさんのものです
It's all in there. Read it carefully and then sign it, all right?	そう書いてある書類。よく読んで、サイン、たのむよ
Forget it, I'm not even gonna read it.	……だめだ。書類は読まない
Whenever I read, I get airsick.	字を読むと気分が悪くなる。船酔いがひどくなるからな
Oh yeah?	はぅ……
I'm the same way, so I can't say too much.	それ、よくわかるから何も言えないよ……
Damn! My plan failed. Let's pick on RED XIII later to let off steam.	クソッ……作戦失敗。あとでRED XIII、からかって……ウサばらし、しちゃお
How would you even know? You don't know how tough it is…getting sick on boats and rides…	あんたにはわかんないだろ？この船酔い……乗り物酔いのつらさ……
So, please…just leave me alone.	たのむから……ほっといて
I really do understand, YUFFIE. When I get sick on a flight, it's a real killer.	……よくわかるよ、YUFFIE。俺の乗り物酔いもスジガネ入りだ
When I was in SOLDIER, I completely forgot about my motion sickness.	自分がソルジャーだと思っていた時はすっかり忘れていたけどな
